sent,eText,factValue
"""All Iraqis, fight them with all the power you have, and all struggle for everything.""",have,CT
"""All this has really established is that MCA and the Bronfmans have agreed on a price at which they can be bought out,"" said Jeffery Logsdon, an analyst with Crowell, Weedon in Los Angeles.",said,CT
"""Although these sorts of bugs are not at all uncommon, the 486 is an extremely high-profile product,"" said Mr. Slater, the newsletter editor.",said,CT
"""Anheuser is the biggest guy in the bar, and he just decided to join in the barroom brawl,"" said Joseph J. Doyle, an analyst with Smith Barney, Harris Upham amp Co.",decided,CT
"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.",continue,CT
"""At some point, it will become non-economical for one company.""",become,CT
"""At this stage it was felt I was perhaps more pertinent as chief executive.""",felt,CT
"""Attitudes {toward being acquired} are still negative, but they're becoming more positive,"" Mr. Murasawa said.",said,CT
"""Bugs like this are just a normal part of product development,"" said Richard Archuleta, director of Hewlett-Packard Co.'s advanced systems development.",said,CT
"""Cheerios and Honey Nut Cheerios have eaten away sales normally going to Kellogg's corn-based lines simply because they are made of oats,"" says Merrill Lynch food analyst William Maguire.",made,CT
"""Fight them,"" he urged Iraqis in a radio address.",urged,CT
"""He was told . . . the handwriting was on the wall,"" the source said Monday.",said,CT
"""I don't think Kellogg can get back to 40% this year,"" he said.",get,PR
"""I don't think Kellogg can get back to 40% this year,"" he said.",said,CT
"""I don't think Kellogg can get back to 40% this year,"" he said.",think,CT
"""I really don't see the government doing something that Jaguar doesn't want over the next 14 months,"" said Kenneth Warren, a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain's House of Commons.",said,CT
"""I really don't see the government doing something that Jaguar doesn't want over the next 14 months,"" said Kenneth Warren, a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain's House of Commons.",see,CT
"""I think frankly Saddam is finished, no matter what happens,"" says Christine Helms, a Middle East scholar who has written extensively about Iraq.",written,CT
"""I think frankly Saddam is finished, no matter what happens,"" says Christine Helms, a Middle East scholar who has written extensively about Iraq.",finished,PR
"""I think it's a pretty positive development,"" said Ross Cowan, a financial analyst with Levesque Beaubien Geoffrion Inc., of the decision to concentrate on groceries.",think,CT
"""I think the Gorbachev plan was a good one.""",think,CT
"""I'm happy that he feels positively about our company,"" he said.",said,CT
"""I'm not saying everything is hunky-dory, but we have completed the transition,"" Robert M. Price, chairman and chief executive, said in an interview.",completed,CT
"""If I were choosing the people of tomorrow, I would have chosen the people who are now on the board,"" he said.",said,CT
"""If a bid materializes at that price, shareholders will have every reason to be glad, but the question of financing still remains.""",remains,CT
"""If you find sound, healthy companies in Japan, they are not for sale,"" said George Watanabe, a management-consultant at Tokyo-based Asia Advisory Services Inc.",said,CT
"""In some industries, like pharmaceuticals, acquisitions make sense.""",make,CT
"""It doesn't bode well for coming quarters,"" said John Jacobson, who follows the steel industry for AUS Consultants.",bode,CT
"""It doesn't bode well for coming quarters,"" said John Jacobson, who follows the steel industry for AUS Consultants.",said,CT
"""It makes no sense for us to put money at risk when you know you're going to lose,"" says Mr. Antolini, of Donaldson Lufkin.",makes,CT
"""It makes no sense for us to put money at risk when you know you're going to lose,"" says Mr. Antolini, of Donaldson Lufkin.",says,CT
"""It's a cosmetic move,"" said Jonathan S. Gelles of Wertheim Schroder amp Co.",said,CT
"""It's going to get bloody.""",get,CT
"""Mr. Lortie felt less pertinent,"" Mr. Nadeau said, given the decision to dump Provigo's non-food operations.",felt,CT
"""No point getting into all these semantics,"" he said.",said,CT
"""Now we see that edge eroded.""",see,CT
"""Our bread and butter is still the $2 million to $20 million account,"" he says.",says,CT
"""Our company has not been able to cope very effectively with"" changes in the marketplace, said Ryosuke Ito, Sansui's president.",said,CT
"""Our company has not been able to cope very effectively with"" changes in the marketplace, said Ryosuke Ito, Sansui's president.",cope,CT
"""Over the next couple of years we would not be surprised to see Europe and international {sales} represent 50% of the company's revenues,"" he said.",said,CT
"""Over the next couple of years we would not be surprised to see Europe and international {sales} represent 50% of the company's revenues,"" he said.",represent,PS
"""People are questioning corporate profits as a pillar of support for the equity market.""",questioning,CT
"""People have been seeing headline after headline after headline and saying: I can't take it anymore -- I'm getting out,'"" says Kurt Brouwer of Brouwer amp Janachowski, a San Francisco investment adviser.",says,CT
"""RJR Nabisco and Planters LifeSavers will concentrate more on our own core businesses,"" Mr. Gerstner said Friday.",concentrate,CT
"""So far, the offensive is progressing with dramatic success,"" said a buoyant Gen. Norman Schwarzkopf, commander of U.S. forces.",said,CT
"""Sometimes {traders} lose sight of that,"" he says.",says,CT
"""That shows he's nervous about pinpointing his location, either because he's afraid we'll find him, or that internal enemies will,"" says one U.S. official.",says,CT
"""The 486 is going to have a big impact on the industry,"" said Hewlett-Packard's Mr. Archuleta.",said,CT
